Species,Type,Ability,HP,Atk,Def,SpA,SpD,Spe,Total
001,Bulbasaur,Grass/Poison,Overgrow/Chlorophyll,45,49,49,65,65,45,318
002,Ivysaur,Grass/Poison,Overgrow/Chlorophyll,60,62,63,80,80,60,405
003,Venusaur,Grass/Poison,Overgrow/Chlorophyll,80,82,83,100,100,80,525
004,Charmander,Fire,Blaze/Solar Power,39,52,43,60,50,65,309
005,Charmeleon,Fire,Blaze/Solar Power,58,64,58,80,65,80,405
006,Charizard,Fire/Flying,Blaze/Solar Power,78,84,78,109,85,100,534
007,Squirtle,Water,Torrent/Rain Dish,44,48,65,50,64,43,314
008,Wartortle,Water,Torrent/Rain Dish,59,63,80,65,80,58,405
009,Blastoise,Water,Torrent/Rain Dish,79,83,100,85,105,78,530
010,Caterpie,Bug,Shield Dust/Run Away,45,30,35,20,20,45,195
011,Metapod,Bug,Shed Skin,50,20,55,25,25,30,205
012,Butterfree,Bug/Flying,Compoundeyes/Tinted Lens,60,45,50,80,80,70,385
013,Weedle,Bug/Poison,Shield Dust/Run Away,40,35,30,20,20,50,195
014,Kakuna,Bug/Poison,Shed Skin,45,25,50,25,25,35,205
015,Beedrill,Bug/Poison,Swarm/Sniper,65,80,40,45,80,75,385
016,Pidgey,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,40,45,40,35,35,56,251
017,Pidgeotto,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,63,60,55,50,50,71,349
018,Pidgeot,Normal/Flying,Keen Eye/Tangled Feet/Big Pecks,83,80,75,70,70,91,469
019,Rattata,Normal,Run Away/Guts/Hustle,30,56,35,25,35,72,253
020,Raticate,Normal,Run Away/Guts/Hustle,55,81,60,50,70,97,413
021,Spearow,Normal/Flying,Keen Eye/Sniper,40,60,30,31,31,70,262
022,Fearow,Normal/Flying,Keen Eye/Sniper,65,90,65,61,61,100,442
023,Ekans,Poison,Intimidate/Shed Skin/Unnerve,35,60,44,40,54,55,288
024,Arbok,Poison,Intimidate/Shed Skin/Unnerve,60,85,69,65,79,80,438
025,Pikachu,Electric,Static/Lightningrod,35,55,30,50,40,90,300
026,Raichu,Electric,Static/Lightningrod,60,90,55,90,80,100,475
027,Sandshrew,Ground,Sand Veil/Sand Rush,50,75,85,20,30,40,300
028,Sandslash,Ground,Sand Veil/Sand Rush,75,100,110,45,55,65,450
029,Nidoran-F,Poison,Poison Point/Rivalry/Hustle,55,47,52,40,40,41,275
030,Nidorina,Poison,Poison Point/Rivalry/Hustle,70,62,67,55,55,56,365
031,Nidoqueen,Poison/Ground,Poison Point/Rivalry/Sheer Force,90,82,87,75,85,76,495
032,Nidoran-M,Poison,Poison Point/Rivalry/Hustle,46,57,40,40,40,50,273
033,Nidorino,Poison,Poison Point/Rivalry/Hustle,61,72,57,55,55,65,365
034,Nidoking,Poison/Ground,Poison Point/Rivalry/Sheer Force,81,92,77,85,75,85,495
035,Clefairy,Normal,Cute Charm/Magic Guard/Friend Guard,70,45,48,60,65,35,323
036,Clefable,Normal,Cute Charm/Magic Guard/Unaware,95,70,73,85,90,60,473
037,Vulpix,Fire,Flash Fire/Drought,38,41,40,50,65,65,299
038,Ninetales,Fire,Flash Fire/Drought,73,76,75,81,100,100,505
039,Jigglypuff,Normal,Cute Charm/Friend Guard,115,45,20,45,25,20,270
040,Wigglytuff,Normal,Cute Charm/Frisk,140,70,45,75,50,45,425
041,Zubat,Poison/Flying,Inner Focus/Infiltrator,40,45,35,30,40,55,245
042,Golbat,Poison/Flying,Inner Focus/Infiltrator,75,80,70,65,75,90,455
043,Oddish,Grass/Poison,Chlorophyll/Run Away,45,50,55,75,65,30,320
044,Gloom,Grass/Poison,Chlorophyll/Stench,60,65,70,85,75,40,395
045,Vileplume,Grass/Poison,Chlorophyll/Effect Spore,75,80,85,100,90,50,480
046,Paras,Bug/Grass,Effect Spore/Dry Skin/Damp,35,70,55,45,55,25,285
047,Parasect,Bug/Grass,Effect Spore/Dry Skin/Damp,60,95,80,60,80,30,405
048,Venonat,Bug/Poison,Compoundeyes/Tinted Lens/Run Away,60,55,50,40,55,45,305
049,Venomoth,Bug/Poison,Shield Dust/Tinted Lens/Wonder Skin ,70,65,60,90,75,90,450
050,Diglett,Ground,Sand Veil/Arena Trap/Sand Force,10,55,25,35,45,95,265
051,Dugtrio,Ground,Sand Veil/Arena Trap/Sand Force,35,80,50,50,70,120,405
052,Meowth,Normal,Pickup/Technician/Unnerve,40,45,35,40,40,90,290
053,Persian,Normal,Limber/Technician/Unnerve,65,70,60,65,65,115,440
054,Psyduck,Water,Damp/Cloud Nine/Swift Swim,50,52,48,65,50,55,320
055,Golduck,Water,Damp/Cloud Nine/Swift Swim,80,82,78,95,80,85,500
056,Mankey,Fighting,Vital Spirit/Anger Point/Defiant,40,80,35,35,45,70,305
057,Primeape,Fighting,Vital Spirit/Anger Point/Defiant,65,105,60,60,70,95,455
058,Growlithe,Fire,Intimidate/Flash Fire/Justified,55,70,45,70,50,60,350
059,Arcanine,Fire,Intimidate/Flash Fire/Justified,90,110,80,100,80,95,555
060,Poliwag,Water,Water Absorb/Damp/Swift Swim,40,50,40,40,40,90,300
061,Poliwhirl,Water,Water Absorb/Damp/Swift Swim,65,65,65,50,50,90,385
062,Poliwrath,Water/Fighting,Water Absorb/Damp/Swift Swim,90,85,95,70,90,70,500
063,Abra,Psychic,Synchronize/Inner Focus/Magic Guard,25,20,15,105,55,90,310
064,Kadabra,Psychic,Synchronize/Inner Focus/Magic Guard,40,35,30,120,70,105,400
065,Alakazam,Psychic,Synchronize/Inner Focus/Magic Guard,55,50,45,135,85,120,490
066,Machop,Fighting,Guts/No Guard/Steadfast,70,80,50,35,35,35,305
067,Machoke,Fighting,Guts/No Guard/Steadfast,80,100,70,50,60,45,405
068,Machamp,Fighting,Guts/No Guard/Steadfast,90,130,80,65,85,55,505
069,Bellsprout,Grass/Poison,Chlorophyll/Gluttony,50,75,35,70,30,40,300
070,Weepinbell,Grass/Poison,Chlorophyll/Gluttony,65,90,50,85,45,55,390
071,Victreebel,Grass/Poison,Chlorophyll/Gluttony,80,105,65,100,60,70,480
072,Tentacool,Water/Poison,Clear Body/Liquid Ooze/Rain Dish,40,40,35,50,100,70,335
073,Tentacruel,Water/Poison,Clear Body/Liquid Ooze/Rain Dish,80,70,65,80,120,100,515
074,Geodude,Rock/Ground,Rock Head/Sturdy/Sand Veil,40,80,100,30,30,20,300
075,Graveler,Rock/Ground,Rock Head/Sturdy/Sand Veil,55,95,115,45,45,35,390
076,Golem,Rock/Ground,Rock Head/Sturdy/Sand Veil,80,110,130,55,65,45,485
077,Ponyta,Fire,Run Away/Flash Fire/Flame Body,50,85,55,65,65,90,410
078,Rapidash,Fire,Run Away/Flash Fire/Flame Body,65,100,70,80,80,105,500
079,Slowpoke,Water/Psychic,Oblivious/Own Tempo/Regenerator,90,65,65,40,40,15,315
080,Slowbro,Water/Psychic,Oblivious/Own Tempo/Regenerator,95,75,110,100,80,30,490
081,Magnemite,Electric/Steel,Magnet Pull/Sturdy/Analytic,25,35,70,95,55,45,325
082,Magneton,Electric/Steel,Magnet Pull/Sturdy/Analytic,50,60,95,120,70,70,465
083,Farfetch'd,Normal/Flying,Keen Eye/Inner Focus/Defiant,52,65,55,58,62,60,352
084,Doduo,Normal/Flying,Run Away/Early Bird/Tangled Feet,35,85,45,35,35,75,310
085,Dodrio,Normal/Flying,Run Away/Early Bird/Tangled Feet,60,110,70,60,60,100,460
086,Seel,Water,Thick Fat/Hydration/Ice Body,65,45,55,45,70,45,325
087,Dewgong,Water/Ice,Thick Fat/Hydration/Ice Body,90,70,80,70,95,70,475
088,Grimer,Poison,Stench/Sticky Hold/Poison Touch,80,80,50,40,50,25,325
089,Muk,Poison,Stench/Sticky Hold/Poison Touch,105,105,75,65,100,50,500
090,Shellder,Water,Shell Armor/Skill Link/Overcoat,30,65,100,45,25,40,305
091,Cloyster,Water/Ice,Shell Armor/Skill Link/Overcoat,50,95,180,85,45,70,525
092,Gastly,Ghost/Poison,Levitate,30,35,30,100,35,80,310
093,Haunter,Ghost/Poison,Levitate,45,50,45,115,55,95,405
094,Gengar,Ghost/Poison,Levitate,60,65,60,130,75,110,500
095,Onix,Rock/Ground,Rock Head/Sturdy/Weak Armor,35,45,160,30,45,70,385
096,Drowzee,Psychic,Insomnia/Forewarn/Inner Focus,60,48,45,43,90,42,328
097,Hypno,Psychic,Insomnia/Forewarn/Inner Focus,85,73,70,73,115,67,483
098,Krabby,Water,Hyper Cutter/Shell Armor/Sheer Force,30,105,90,25,25,50,325
099,Kingler,Water,Hyper Cutter/Shell Armor/Sheer Force,55,130,115,50,50,75,475
100,Voltorb,Electric,Soundproof/Static/Aftermath,40,30,50,55,55,100,330
101,Electrode,Electric,Soundproof/Static/Aftermath,60,50,70,80,80,140,480
102,Exeggcute,Grass/Psychic,Chlorophyll/Harvest,60,40,80,60,45,40,325
103,Exeggutor,Grass/Psychic,Chlorophyll/Harvest,95,95,85,125,65,55,520
104,Cubone,Ground,Rock Head/Lightningrod/Battle Armor,50,50,95,40,50,35,320
105,Marowak,Ground,Rock Head/Lightningrod/Battle Armor,60,80,110,50,80,45,425
106,Hitmonlee,Fighting,Limber/Reckless/Unburden,50,120,53,35,110,87,455
107,Hitmonchan,Fighting,Keen Eye/Iron Fist/Inner Focus,50,105,79,35,110,76,455
108,Lickitung,Normal,Own Tempo/Oblivious/Cloud Nine,90,55,75,60,75,30,385
109,Koffing,Poison,Levitate,40,65,95,60,45,35,340
110,Weezing,Poison,Levitate,65,90,120,85,70,60,490
111,Rhyhorn,Ground/Rock,Lightningrod/Rock Head/Reckless,80,85,95,30,30,25,345
112,Rhydon,Ground/Rock,Lightningrod/Rock Head/Reckless,105,130,120,45,45,40,485
113,Chansey,Normal,Natural Cure/Serene Grace/Healer,250,5,5,35,105,50,450
114,Tangela,Grass,Chlorophyll/Leaf Guard/Regenerator,65,55,115,100,40,60,435
115,Kangaskhan,Normal,Early Bird/Scrappy/Inner Focus,105,95,80,40,80,90,490
116,Horsea,Water,Swift Swim/Sniper/Damp,30,40,70,70,25,60,295
117,Seadra,Water,Poison Point/Sniper/Damp,55,65,95,95,45,85,440
118,Goldeen,Water,Swift Swim/Water Veil/Lightningrod,45,67,60,35,50,63,320
119,Seaking,Water,Swift Swim/Water Veil/Lightningrod,80,92,65,65,80,68,450
120,Staryu,Water,Illuminate/Natural Cure/Analytic,30,45,55,70,55,85,340
121,Starmie,Water/Psychic,Illuminate/Natural Cure/Analytic,60,75,85,100,85,115,520
122,Mr. Mime,Psychic,Soundproof/Filter/Technician,40,45,65,100,120,90,460
123,Scyther,Bug/Flying,Swarm/Technician/Steadfast,70,110,80,55,80,105,500
124,Jynx,Ice/Psychic,Oblivious/Forewarn/Dry Skin,65,50,35,115,95,95,455
125,Electabuzz,Electric,Static/Vital Spirit,65,83,57,95,85,105,490
126,Magmar,Fire,Flame Body/Vital Spirit,65,95,57,100,85,93,495
127,Pinsir,Bug,Hyper Cutter/Mold Breaker/Moxie,65,125,100,55,70,85,500
128,Tauros,Normal,Intimidate/Anger Point/Sheer Force,75,100,95,40,70,110,490
129,Magikarp,Water,Swift Swim/Rattled,20,10,55,15,20,80,200
130,Gyarados,Water/Flying,Intimidate/Moxie,95,125,79,60,100,81,540
131,Lapras,Water/Ice,Water Absorb/Shell Armor/Hydration,130,85,80,85,95,60,535
132,Ditto,Normal,Limber/Imposter,48,48,48,48,48,48,288
133,Eevee,Normal,Run Away/Adaptability/Anticipation,55,55,50,45,65,55,325
134,Vaporeon,Water,Water Absorb/Hydration,130,65,60,110,95,65,525
135,Jolteon,Electric,Volt Absorb/Quick Feet,65,65,60,110,95,130,525
136,Flareon,Fire,Flash Fire/Guts,65,130,60,95,110,65,525
137,Porygon,Normal,Trace/Download/Analytic,65,60,70,85,75,40,395
138,Omanyte,Rock/Water,Swift Swim/Shell Armor/Weak Armor,35,40,100,90,55,35,355
139,Omastar,Rock/Water,Swift Swim/Shell Armor/Weak Armor,70,60,125,115,70,55,495
140,Kabuto,Rock/Water,Swift Swim/Battle Armor/Weak Armor,30,80,90,55,45,55,355
141,Kabutops,Rock/Water,Swift Swim/Battle Armor/Weak Armor,60,115,105,65,70,80,495
142,Aerodactyl,Rock/Flying,Rock Head/Pressure/Unnerve,80,105,65,60,75,130,515
143,Snorlax,Normal,Immunity/Thick Fat/Gluttony,160,110,65,65,110,30,540
144,Articuno,Ice/Flying,Pressure/Snow Cloak,90,85,100,95,125,85,580
145,Zapdos,Electric/Flying,Pressure/Lightningrod,90,90,85,125,90,100,580
146,Moltres,Fire/Flying,Pressure/Flame Body,90,100,90,125,85,90,580
147,Dratini,Dragon,Shed Skin/Marvel Scale,41,64,45,50,50,50,300
148,Dragonair,Dragon,Shed Skin/Marvel Scale,61,84,65,70,70,70,420
149,Dragonite,Dragon/Flying,Inner Focus/Multiscale,91,134,95,100,100,80,600
150,Mewtwo,Psychic,Pressure/Unnerve,106,110,90,154,90,130,680
151,Mew,Psychic,Synchronize,100,100,100,100,100,100,600
152,Chikorita,Grass,Overgrow/Leaf Guard,45,49,65,49,65,45,318
153,Bayleef,Grass,Overgrow/Leaf Guard,60,62,80,63,80,60,405
154,Meganium,Grass,Overgrow/Leaf Guard,80,82,100,83,100,80,525
155,Cyndaquil,Fire,Blaze/Flash Fire,39,52,43,60,50,65,309
156,Quilava,Fire,Blaze/Flash Fire,58,64,58,80,65,80,405
157,Typhlosion,Fire,Blaze/Flash Fire,78,84,78,109,85,100,534
158,Totodile,Water,Torrent/Sheer Force,50,65,64,44,48,43,314
159,Croconaw,Water,Torrent/Sheer Force,65,80,80,59,63,58,405
160,Feraligatr,Water,Torrent/Sheer Force,85,105,100,79,83,78,530
161,Sentret,Normal,Run Away/Keen Eye/Frisk,35,46,34,35,45,20,215
162,Furret,Normal,Run Away/Keen Eye/Frisk,85,76,64,45,55,90,415
163,Hoothoot,Normal/Flying,Insomnia/Keen Eye/Tinted Lens,60,30,30,36,56,50,262
164,Noctowl,Normal/Flying,Insomnia/Keen Eye/Tinted Lens,100,50,50,76,96,70,442
165,Ledyba,Bug/Flying,Swarm/Early Bird/Rattled,40,20,30,40,80,55,265
166,Ledian,Bug/Flying,Swarm/Early Bird/Iron Fist,55,35,50,55,110,85,390
167,Spinarak,Bug/Poison,Swarm/Insomnia/Sniper,40,60,40,40,40,30,250
168,Ariados,Bug/Poison,Swarm/Insomnia/Sniper,70,90,70,60,60,40,390
169,Crobat,Poison/Flying,Inner Focus/Infiltrator,85,90,80,70,80,130,535
170,Chinchou,Water/Electric,Volt Absorb/Illuminate/Water Absorb,75,38,38,56,56,67,330
171,Lanturn,Water/Electric,Volt Absorb/Illuminate/Water Absorb,125,58,58,76,76,67,460
172,Pichu,Electric,Static/Lightningrod,20,40,15,35,35,60,205
173,Cleffa,Normal,Cute Charm/Magic Guard/Friend Guard,50,25,28,45,55,15,218
174,Igglybuff,Normal,Cute Charm/Friend Guard,90,30,15,40,20,15,210
175,Togepi,Normal,Hustle/Serene Grace/Super Luck,35,20,65,40,65,20,245
176,Togetic,Normal/Flying,Hustle/Serene Grace/Super Luck,55,40,85,80,105,40,405
177,Natu,Psychic/Flying,Synchronize/Early Bird/Magic Bounce,40,50,45,70,45,70,320
178,Xatu,Psychic/Flying,Synchronize/Early Bird/Magic Bounce,65,75,70,95,70,95,470
179,Mareep,Electric,Static/Plus,55,40,40,65,45,35,280
180,Flaaffy,Electric,Static/Plus,70,55,55,80,60,45,365
181,Ampharos,Electric,Static/Plus,90,75,75,115,90,55,500
182,Bellossom,Grass,Chlorophyll/Healer,75,80,85,90,100,50,480
183,Marill,Water,Thick Fat/Huge Power/Sap Sipper,70,20,50,20,50,40,250
184,Azumarill,Water,Thick Fat/Huge Power/Sap Sipper,100,50,80,50,80,50,410
185,Sudowoodo,Rock,Sturdy/Rock Head/Rattled,70,100,115,30,65,30,410
186,Politoed,Water,Water Absorb/Damp/Drizzle,90,75,75,90,100,70,500
187,Hoppip,Grass/Flying,Chlorophyll/Leaf Guard/Infiltrator,35,35,40,35,55,50,250
188,Skiploom,Grass/Flying,Chlorophyll/Leaf Guard/Infiltrator,55,45,50,45,65,80,340
189,Jumpluff,Grass/Flying,Chlorophyll/Leaf Guard/Infiltrator,75,55,70,55,85,110,450
190,Aipom,Normal,Run Away/Pickup/Skill Link,55,70,55,40,55,85,360
191,Sunkern,Grass,Chlorophyll/Solar Power/Early Bird,30,30,30,30,30,30,180
192,Sunflora,Grass,Chlorophyll/Solar Power/Early Bird,75,75,55,105,85,30,425
193,Yanma,Bug/Flying,Speed Boost/Compoundeyes/Frisk,65,65,45,75,45,95,390
194,Wooper,Water/Ground,Damp/Water Absorb/Unaware,55,45,45,25,25,15,210
195,Quagsire,Water/Ground,Damp/Water Absorb/Unaware,95,85,85,65,65,35,430
196,Espeon,Psychic,Synchronize/Magic Bounce,65,65,60,130,95,110,525
197,Umbreon,Dark,Synchronize/Inner Focus,95,65,110,60,130,65,525
198,Murkrow,Dark/Flying,Insomnia/Super Luck/Prankster,60,85,42,85,42,91,405
199,Slowking,Water/Psychic,Oblivious/Own Tempo/Regenerator,95,75,80,100,110,30,490
200,Misdreavus,Ghost,Levitate,60,60,60,85,85,85,435
201,Unown,Psychic,Levitate,48,72,48,72,48,48,336
202,Wobbuffet,Psychic,Shadow Tag/Telepathy,190,33,58,33,58,33,405
203,Girafarig,Normal/Psychic,Inner Focus/Early Bird/Sap Sipper,70,80,65,90,65,85,455
204,Pineco,Bug,Sturdy/Overcoat,50,65,90,35,35,15,290
205,Forretress,Bug/Steel,Sturdy/Overcoat,75,90,140,60,60,40,465
206,Dunsparce,Normal,Serene Grace/Run Away/Rattled,100,70,70,65,65,45,415
207,Gligar,Ground/Flying,Hyper Cutter/Sand Veil/Immunity,65,75,105,35,65,85,430
208,Steelix,Steel/Ground,Rock Head/Sturdy/Sheer Force,75,85,200,55,65,30,510
209,Snubbull,Normal,Intimidate/Run Away/Rattled,60,80,50,40,40,30,300
210,Granbull,Normal,Intimidate/Quick Feet/Rattled,90,120,75,60,60,45,450
211,Qwilfish,Water/Poison,Poison Point/Swift Swim/Intimidate,65,95,75,55,55,85,430
212,Scizor,Bug/Steel,Swarm/Technician/Light Metal,70,130,100,55,80,65,500
213,Shuckle,Bug/Rock,Sturdy/Gluttony/Contrary,20,10,230,10,230,5,505
214,Heracross,Bug/Fighting,Swarm/Guts/Moxie,80,125,75,40,95,85,500
215,Sneasel,Dark/Ice,Inner Focus/Keen Eye/Pickpocket,55,95,55,35,75,115,430
216,Teddiursa,Normal,Pickup/Quick Feet/Honey Gather,60,80,50,50,50,40,330
217,Ursaring,Normal,Guts/Quick Feet/Unnerve,90,130,75,75,75,55,500
